seller_id,first_sale,last_sale,total_orders,total_revenue,avg_review_score,days_since_last_sale,seller_lifespan_days,is_churned
0015a82c2db000af6aaaf3ae2ecb0532,2017-09-26 22:17:05,2017-10-18 08:16:34,3,2685.0,3.6666666666666665,315,21,True
001cca7ae9ae17fb1caed9dfb1094831,2017-02-04 19:06:04,2018-07-12 21:38:26,195,24487.03,3.9358974358974357,47,523,False
002100f778ceb8431b7a1020ff7ab48f,2017-09-14 01:00:31,2018-04-12 12:58:23,50,1236.5,4.036363636363636,139,210,True
003554e2dce176b5555353e4f3555ac8,2017-12-15 06:52:25,2017-12-15 06:52:25,1,120.0,5.0,257,0,True
004c9cd9d87a3c30c522c48c4fc07416,2017-01-27 10:34:34,2018-05-03 11:13:38,156,20407.19,4.1085714285714285,118,461,True
00720abe85ba0859807595bbf045a33b,2018-01-27 13:46:31,2018-08-03 16:57:01,13,1007.5,3.6538461538461537,25,188,False
00ab3eff1b5192e5f1a63bcecfee11c8,2017-03-18 11:40:26,2017-03-18 11:40:26,1,98.0,5.0,529,0,True
00d8b143d12632bad99c0ad66ad52825,2018-03-21 11:17:37,2018-03-21 11:17:37,1,86.0,5.0,161,0,True
00ee68308b45bc5e2660cd833c3f81cc,2017-09-19 01:02:44,2018-08-09 20:45:10,135,20345.0,4.335260115606936,19,324,False
00fc707aaaad2d31347cf883cd2dfe10,2018-01-31 15:33:18,2018-06-13 16:19:00,103,13490.8,3.7202797202797204,76,133,False
010543a62bd80aa422851e79a3bc7540,2017-07-04 17:54:07,2017-08-02 13:49:39,2,1416.0,4.5,392,28,True
010da0602d7774602cd1b3f5fb7b709e,2018-06-06 18:37:14,2018-06-06 18:37:14,1,849.5,1.0,83,0,False
011b0eaba87386a2ae96a7d32bb531d1,2016-10-06 07:08:15,2016-10-06 07:08:15,1,99.98,4.0,692,0,True
01266d4c46afa519678d16a8b683d325,2018-08-02 16:07:38,2018-08-20 19:14:26,3,90.25,5.0,8,18,False
013900e863eace745d3ec7614cab5b1a,2017-03-04 10:02:28,2018-04-13 16:35:16,23,1619.7,4.730769230769231,137,405,True
014c0679dd340a0e338872e7ec85666a,2017-01-26 00:20:22,2018-07-04 23:17:21,14,7058.0,3.6666666666666665,55,524,False
014d9a685fd57276679edd00e07089e5,2017-11-21 13:22:00,2018-08-17 13:13:21,11,729.88,3.8333333333333335,12,268,False
0176f73cc1195f367f7b32db1e5b3aa8,2017-11-16 17:42:52,2018-08-13 17:54:44,37,4643.2,4.052631578947368,15,270,False
01bcc9d254a0143f0ce9791b960b2a47,2017-08-12 16:25:03,2018-02-02 10:03:35,10,1393.21,4.4,208,173,True
01c97ebb5cdac52891c0ed1c37ba0012,2017-04-13 23:47:01,2018-07-31 19:13:20,9,577.5,4.083333333333333,28,473,False
01cf7e3d21494c41fb86034f2e714fa1,2016-10-06 18:03:01,2018-02-26 09:41:21,59,9439.56,4.2,184,507,True
01ed254b9ff8407dfb9d99ba1e17d923,2017-08-04 10:33:43,2017-11-08 20:24:38,5,1465.99,5.0,293,96,True
01fd077212124329bac32490e8ef80d9,2018-04-16 10:44:09,2018-08-24 17:52:59,31,1208.0,4.3076923076923075,4,130,False
01fdefa7697d26ad920e9e0346d4bd1b,2017-04-26 15:57:39,2018-08-20 21:50:59,128,14802.53,4.376923076923077,8,481,False
0241d4d5d36f10f80c644447315af0bd,2017-10-08 19:00:03,2018-08-28 15:11:49,238,31561.5,4.2730923694779115,0,323,False
0249d282d911d23cb8b869ab49c99f53,2017-09-18 20:48:19,2018-03-22 22:37:56,11,393.0,4.2727272727272725,159,185,True
024b564ae893ce8e9bfa02c10a401ece,2016-10-05 12:41:38,2017-02-12 18:46:20,2,706.4000000000001,4.75,562,130,True
028872bfa080090a9d0abd4f1af168f8,2017-08-19 09:10:45,2017-08-19 09:10:45,1,70.5,5.0,375,0,True
02b72cdeb9cfcc429f1af6f4e3f3b737,2018-07-25 21:20:47,2018-08-22 20:09:46,4,522.65,4.75,6,27,False
02c988090b766852e088c69d7fb3b551,2017-07-21 17:52:29,2018-08-15 09:44:30,12,1564.3700000000001,4.6875,14,389,False
02d35243ea2e497335cd0f076b45675d,2017-04-29 22:33:10,2018-08-02 17:53:47,14,5794.0,2.6875,26,459,False
02dcd3e8e25bee036e32512bcf175493,2018-02-21 20:55:22,2018-08-22 16:20:30,13,1491.9,3.588235294117647,6,181,False
02ecc2a19303f05e59ce133fd923fff7,2017-06-18 18:04:34,2018-08-21 20:13:02,21,5264.19,4.541666666666667,7,429,False
02f5837340d7eb4f653d676c7256523a,2017-11-01 20:55:07,2018-08-08 14:13:58,30,3883.05,4.833333333333333,21,279,False
02f623a8eb246f3c5f7c2f96462654e6,2018-04-25 15:13:02,2018-08-22 23:52:12,44,6378.0,4.568181818181818,6,119,False
0307f7565ff85b299b6e5ef162b1b1a9,2016-10-10 18:09:39,2017-05-25 07:49:44,6,4711.9,3.5,461,226,True
0336182e1b3e92f029d5354832045fdf,2016-10-05 19:09:33,2016-10-05 19:09:33,1,29.8,2.0,692,0,True
034b9387752bfa309f350a70cd45ffa3,2018-04-11 15:53:57,2018-08-22 16:05:04,8,96.0,4.5,6,133,False
038b75b729c8a9a04b0d07cba7eabe86,2018-04-20 12:29:17,2018-04-22 18:42:38,2,467.0,3.5,128,2,True
039b29ff3b3473435d0cd59040575de9,2018-04-26 11:32:03,2018-08-23 13:56:52,9,114.9,4.444444444444445,6,119,False
039e6ad9dae79614493083e241147386,2018-04-03 11:35:18,2018-07-10 20:53:38,5,12925.0,4.0,49,98,False
03a2a6dcbe45d639c4dc2a0d24769c40,2018-03-13 08:11:07,2018-08-15 18:21:14,9,1078.41,4.111111111111111,13,155,False
03bd479e1d9484cdb14104d3023f7321,2018-05-09 17:37:03,2018-07-24 17:28:41,3,359.70000000000005,4.333333333333333,35,75,False
0417b067eeab773d2f7061a726dc477f,2018-03-01 20:13:18,2018-08-20 12:38:56,13,1859.18,3.923076923076923,9,171,False
042573af89b6d931f672efaf789d8358,2018-01-21 17:44:36,2018-02-11 13:08:02,3,413.48,3.6666666666666665,199,20,True
04308b1ee57b6625f47df1d56f00eedf,2017-11-14 16:57:33,2018-08-12 00:13:50,92,58991.799999999996,3.9456521739130435,17,270,False
0432ead42b6c8a0bdf68154add917fdf,2017-04-02 16:31:42,2018-07-27 18:03:57,82,7574.400000000001,4.551724137931035,32,481,False
044668ccd5316b12a7cf0d54a156e3e9,2018-08-08 17:54:25,2018-08-20 21:07:24,3,137.8,5.0,8,12,False
04843805947f0fc584fc1969b6e50fe7,2018-08-05 14:55:14,2018-08-05 14:55:14,1,1400.0,5.0,24,0,False
048c2757535328e0d7dac690ad3c0aae,2017-03-04 15:23:15,2018-08-21 16:31:46,50,9065.08,4.18,7,535,False
04aa0a1c5ce6b222003403a3e11c3cc0,2017-03-22 17:10:13,2018-01-24 11:40:28,11,5518.0,3.5294117647058822,217,307,True
04aba03279157f6d4e0fe8ccaf21963c,2017-05-10 11:51:13,2018-08-26 13:25:25,15,2416.0,4.533333333333333,3,473,False
04e38a233f726ef161074ab1c9b0399a,2017-09-15 00:53:25,2018-05-05 21:12:28,19,991.6,4.166666666666667,115,232,True
04ee0ec01589969663ba5967c0e0bdc0,2018-08-21 11:29:05,2018-08-21 11:29:05,1,289.49,5.0,8,0,False
04fdea0c111866e6cf812f1570d6b5bd,2017-10-14 09:11:45,2018-01-31 13:57:40,8,865.0,3.5,210,109,True
0509040ea3fe50071181bbc359eb7738,2017-05-03 14:22:02,2018-08-02 12:05:18,87,3689.35,4.5,27,455,False
052577151711aec5c744fe12e66db3e1,2017-10-26 18:35:40,2017-10-26 18:35:40,1,687.0,5.0,306,0,True
054694fa03fe82cec4b7551487331d74,2017-01-07 17:20:56,2018-04-09 16:57:00,20,8286.1,3.2857142857142856,141,456,True
056b4ada5bbc2c50cc7842547dda6b51,2017-12-01 10:20:48,2018-08-23 13:21:08,64,12203.400000000001,4.107692307692307,6,265,False
0570350b23eda5444f8d1d9544932058,2018-04-12 23:43:37,2018-05-22 20:17:22,6,626.9,5.0,98,39,True
05730013efda596306417c3b09302475,2018-07-06 18:37:58,2018-08-22 20:16:37,4,952.0,5.0,6,47,False
058cb5aeb36d7c0fcae20fc85d5e0a59,2017-09-25 22:41:26,2018-08-14 23:23:38,11,1236.0,3.5833333333333335,14,323,False
058fd0aa2bfdb2274e05e1ae971dabb6,2017-08-03 11:36:18,2018-06-07 19:45:30,60,7631.9,4.375,82,308,False
05a48cc8859962767935ab9087417fbb,2018-08-02 12:05:38,2018-08-02 12:05:38,1,42.9,5.0,27,0,False
05a940b4ecae36cadfd8e93bd9c43257,2017-07-16 17:22:22,2018-02-19 15:20:06,9,695.1,4.222222222222222,190,217,True
05aebce0b5c8f0d41b29b686f2d05fd3,2018-03-05 16:24:44,2018-08-10 16:15:34,2,74.99000000000001,5.0,18,157,False
05ca864204d09595ae591b93ea9cf93d,2018-08-16 09:18:25,2018-08-16 09:18:25,1,179.9,5.0,13,0,False
05d2173d43ea568aa0540eba70d2ca76,2017-09-27 12:01:09,2018-08-12 20:44:16,62,5759.66,3.909090909090909,16,319,False
05e107217c7266362fd44b75b2cd4cc4,2018-06-29 23:02:10,2018-08-21 05:26:43,5,193.38000000000002,4.125,8,52,False
05f51e13da97139648b8125c31e5f51b,2017-07-10 16:09:38,2018-03-23 10:44:18,57,13100.31,4.25,159,255,True
05feb94f19d094d4b0f9281f0b1d4c99,2017-08-14 08:05:48,2018-02-18 18:26:06,6,9353.0,4.5,191,188,True
05ff92fedb5be47920fea08e501238b9,2016-10-04 16:02:18,2018-08-07 21:31:29,57,21853.98,4.241935483870968,21,672,False
